id;sid;name;type;owner;parent;tm
1336728;7721E90EE507E3E7A0E81FB91CFB30CA;вред_причинение;32;965405;1243370;1561387893
1325873;77E0A88B9FEBE0E8ECA4E77E307067DF;субсидиарная ответственность_банкротство;32;965405;1243370;1559579022
1281123;7B11F8228E7E21084DECD55A626B2C00;упущенная выгода;32;965405;1243370;1553500573
1278622;7D83364332D24DE2E867CD79CE91E89A;протокол ОСУ;32;965405;1243370;1553076202
1275677;80FAE5DBB6414DC3DAACD0AF3C69E6FB;отказ от договора;32;965405;1243370;1596793253
1507162;82729760286CF14E8138FF8CF02A9673;аренда_сроки оплаты;32;965405;1243370;1580990733
1401165;5F84A4711A73BB283AB4DDAAE4F95D79;аптечка;32;965405;1243370;1571409720
1388711;BCEC4BB6147767AFA07D45C1FD68D025;ТП_дистанционная  работа;32;965405;1243370;1568892089
1281164;9163D4368E5F76D585E67CD3942846DD;канализация;32;965405;1243370;1553507795
1257225;BE4F91145E766945825023B031F5F27F;судебные расходы;32;965405;1243370;1597518172
1437646;92AA2E3DA7B4FBDDF5F1AB836773C625;аренда_отказ от договора;32;965405;1243370;1576160443
1274116;9401260495D72A7638336AF2681B49C3;фитнес_налоги;32;965405;1243370;1571298672
1366839;943A703D8A2A84006BA18684086420A2;деловая репутация;32;965405;1243370;1582279680
1369866;96CD6F7599BC91BBB1CFF415DE630012;инвентаризация;32;965405;1243370;1565606212
1321803;9A1056F9230D3A36C5A41B7F10417829;госрегистрация ЮЛ;32;965405;1243370;1596450021
1613634;9AD76028B5036C8A2C4CC547BAE7C4D1;заем-кредит;32;965405;1243370;1593506082
1366373;9C03BF70F61014EE6C1B60D7891A35A0;убытки_неустойка контрагентов;32;965405;1243370;1567695433
1369472;9D647C471DB9E9C5E9054ABF05220260;страхование;32;965405;1243370;1565274111
1251273;D1DA39CC99C5DE16DF3241FE4C099A91;суд расходы_китова;32;965405;1243370;1557936414
1368208;A1870DE7CCFCFB56C5059A018AA4D5FD;злоупотребление;32;965405;1243370;1574333961
1442373;A1BFE2DF8B624CEBAC10C12D5AFFE692;налоговые органы_вызов налогоплательщика;32;965405;1243370;1576591204
1519631;A20F02323E80CE0AF17549A42AE371AB;ТП_индексация;32;965405;1243370;1582795350
1384696;D99642341BC1314844A67D1A574D82D7;ППК;32;965405;1243370;1592656997
1515009;A45DA01374DB16A5D5444952CEB29E11;ТП_практика утрата доверия;32;965405;1243370;1582647334
1629882;A774CD70009CB7F55B3F2FF069B4454D;ограничение ответственности;32;965405;1243370;1597517856
1397445;AA6DD9370A065C2DAE3B4D59DBBD106E;аренда_одно и то же имущество разным арендаторам;32;965405;1243370;1570551947
1623185;ABDCDF959737321E9D2BDBBD1CF72D1F;ускорение рассмотрения дела;32;965405;1243370;1595600522
1266858;B28BEF82F0A92104567AD040D6C7DEFF;ПТЭЭП;32;965405;1243370;1565357212
1302061;B40AACA55ABF7090FE21297E0925E959;процесс;32;965405;1243370;1595920868
1286930;B4E3295381D6273BFD5ECF50DA1AD1FB;вендинг;32;965405;1243370;1554198254
1275743;B5F09EDC9E19DD993920C1025D8B3526;договор предварительный;32;965405;1243370;1565103717
1529566;BAC638D3A3ACA00CB11DFDE81975BC31;водитель_медосмотр;32;965405;1243370;1584536037
1259788;BCC4F2D8D7A168CC1C31C712D02646EF;Исполнительное производство;32;965405;1243370;1559295798
1390633;89F5DDA97FA3A0DB6DE715F826D084EF;аренда_снижение ар платы;32;965405;1243370;1569416637
1366894;ECFFEAF7BDEA3CD29B04D7F53B1A40AA;убытки_адм штраф;32;965405;1243370;1567695422
1412243;EFF5C0A05ABE803F486A7D2669776E6E;ППБ;32;965405;1243370;1573818794
1418758;8E125E0F39CF16974992047B72DBCA38;неустойка;32;965405;1243370;1597517955
1305545;BFE6B93742A38225BFC153F63A10864C;момент оплаты;32;965405;1243370;1555664479
1246805;F4D43803A79B74C633DCEE513370C5F4;постановления пленума;32;965405;1243370;1565887155
1286914;F8CC90FA6F6769AED9E9AD48723EFC31;КДА-ДДА;32;965405;1243370;1554209876
1398525;F976D95721F620658CFB0B34BA169B53;налоговые органы_споры;32;965405;1243370;1570721578
1613635;FA91E2D4F4A2756A0F0BD922596021A4;банкротство;32;965405;1243370;1593506454
1384713;C050682C96D29F512B1D70701EC01DEF;самозанятые;32;965405;1243370;1583919895
1415738;C1EE2A1D08CCEC39D85693328479B6E1;КоАП_срок привлечения к ответственности;32;965405;1243370;1574326173
1324629;FEEDBAAD47594387E6B3E2E758ADAA41;фитнес-услуги;32;965405;1243370;1595522080
1308731;C2936B77EFA9B3AABFB8FED6C852D6E0;взыскание долгов;32;965405;1243370;1564070840
1377944;C9E83E0F5CD34042E961BB01313C28C0;расторжение договора;32;965405;1243370;1567426710
1390845;D184949B8373C19B3F561E5C10B2ACBF;аренда_признание недействительным договора в части;32;965405;1243370;1569415773
1324630;D6696209B37973F777DA4F77EC061D6B;договоры;32;965405;1243370;1597517821
1370828;D7020D5A6BEB0FAB282D4CED9FDE24A2;000_дело АС-Капитал;32;965405;1243370;1565699304
1412249;D70F5334AE1D29537A25D278D5B49362;ПУЭ;32;965405;1243370;1573818873
1246804;DBB1A725823C086882E1E9A310F71F40;убытки;32;965405;1243370;1576062272
1530998;685F297B67EF5CDC5BCB3AC9F6897466;льготы IT;32;984513;1340002;1584787076
1276316;DC65D153B3837A012BB603FB52C48695;госрегистрация недвижимости;32;965405;1243370;1559897465
1388425;DC746222BF555EFBEF57C6C9146A5B82;ТП_служебное расследование;32;965405;1243370;1582647320
1340002;847B8949B2C849E0F8B0A619F0C8EA11;Мои папки;1;984513;1340001;1587016054
1517433;DD160BCFAA566AEA0EDB7562CEA226F9;ТП_злоупотребление работником правами;32;965405;1243370;1582293871
1387746;DE361E718CB5DC8820D9314848B3A73E;ТП_утрата доверия;32;965405;1243370;1582901220
1338043;E369C7E3CDBAEE4C53F40D3334969054;ТП-прогул;32;965405;1243370;1565600040
1406079;E460A1F459501F969AE43D4A42AC3A30;товарный знак_незаконное использование;32;965405;1243370;1572528404
1370086;E4DE7221016FEC2D8E567AF153B12CDB;бухучет;32;965405;1243370;1565598287
1335078;E547F2E7B1584BC680BDD0969FE33801;уголок потребителя;32;965405;1243370;1561034706
1254718;E56662CE15FA25B97330A058718CF2C2;упрощенное рассмотрение дела;32;965405;1243370;1572944698
1270127;EB507BFFFA527E1796B33B15E97E0828;аренда-невозможность использования;32;965405;1243370;1574685819
1346908;F0F1706D18B1FC8FAA1A79260C6CDEF5;ТП;32;965405;1243370;1584825755
1272119;BDE17E718BE516D80E7BA7FE6A2B44CC;фальшивая купюра;32;965405;1243370;1552294754
1508366;FD97BF7CBAFD01740DB67B66DFAA56E1;ТП_трудовая книжка;32;965405;1243370;1581517261
1631113;FEC9AD9899BB8D49039508BCE2992315;Фитнес для инвалидов;32;965405;1243370;1597912677
